Keyword,Score
우주,7.843389517825152
산업,4.8181755976429645
위성,3.4204848125118943
대표,2.7296850049089483
기업,2.2447353791348217
분야,2.206994128371354
대전시,2.037633147027612
기술,1.9900909774698634
개발,1.893799229426226
대전,1.8289131858877556
기대,1.791449761080073
성장,1.7902759829845454
발전,1.665803156783262
경제,1.5865496229139544
기여,1.5800184222989435
지역,1.5683352293076396
소형,1.5524998418605882
국내,1.4248508016818144
스타트업,1.2152279489023012
상장,1.1541115185941648
보도,1.139345705917263
이성희,1.130974649610309
연구,1.0638233274142719
인재,1.0610439227736754
쎄트렉아이,1.048667548655141
클러스터,1.048061178312615
포상,1.0377723157671597
협력,1.0302043811443236
선정,1.0235605412158486
글로벌,0.9583744034376271
지구,0.9384567187588975
관계자,0.9254673409629107
조성,0.9203522709838656
전문,0.9102907962238791
국방,0.903533866419611
발사체,0.8842728755595074
사업,0.8583158634341836
기획,0.8554394930129683
국가,0.8391887732858206
유공자,0.8361396253968085
장호종,0.8343842416000435
혁신,0.8199627817804215
센터,0.7947959022406675
표창,0.7947396320750828
세계,0.7580567906681643
기업인,0.7466548299602569
페리지에어로스페이스,0.7448527882692001
신동윤,0.7276614966464203
최명진,0.6620016371627857
수상,0.6429494532417481
